1,2,3,4,5,6,Category
34,73,90,22,21,2.0,1
20,54,86,16,21,2.0,1
19,80,90,42,14,2.0,1
22,79,92,11,20,3.0,1
20,83,84,7,25,3.0,1
27,68,88,26,21,3.0,1
20,48,86,6,20,3.0,1
45,69,99,30,32,3.0,1
23,66,88,15,12,3.0,1
42,62,89,20,30,3.0,1
23,51,90,27,17,3.0,1
22,63,89,10,27,4.0,1
18,84,90,13,23,4.0,1
25,95,88,14,19,4.0,1
27,35,89,17,29,4.0,1
37,80,91,27,23,4.0,1
33,109,91,18,15,4.0,1
17,65,91,7,5,4.0,1
21,66,92,33,16,5.0,1
26,63,93,18,18,5.0,1
10,80,92,20,26,6.0,1
26,60,95,28,22,6.0,1
25,63,91,15,26,6.0,1
37,62,92,36,21,6.0,1
13,50,95,15,14,6.0,1
37,76,90,50,19,6.0,1
70,70,96,36,26,6.0,1
64,62,95,76,42,6.0,1
20,62,92,20,23,6.0,1
25,63,91,15,26,6.0,1
70,79,92,84,32,7.0,1
58,93,92,120,35,7.0,1
29,71,97,52,22,8.0,1
33,99,84,26,19,8.0,1
42,44,96,73,23,8.0,1
22,62,90,21,21,8.0,1
18,94,92,6,17,8.0,1
77,67,90,114,39,8.0,1
29,71,97,52,22,8.0,1
22,93,92,123,28,9.0,1
86,77,92,31,41,10.0,1
39,77,93,108,37,16.0,1
81,83,94,201,34,20.0,1
25,75,87,14,21,0.0,1
23,56,88,12,18,0.0,1
27,91,94,15,20,0.5,1
17,62,97,5,13,0.5,1
25,85,92,12,20,0.5,1
27,48,82,12,15,0.5,1
31,74,88,15,25,0.5,1
30,77,95,21,14,0.5,1
26,94,88,8,18,0.5,1
19,70,91,22,19,0.5,1
27,54,83,12,15,0.5,1
40,105,91,56,26,0.5,1
37,79,86,14,28,0.5,1
35,96,91,135,22,0.5,1
23,82,89,35,14,0.5,1
24,73,90,11,23,0.5,1
19,87,90,19,25,0.5,1
33,82,89,18,32,0.5,1
17,79,85,9,8,0.5,1
30,119,85,17,26,0.5,1
24,69,78,31,18,0.5,1
34,107,88,27,21,0.5,1
17,115,89,7,27,0.5,1
23,67,92,12,15,0.5,1
27,101,89,14,34,0.5,1
11,84,91,10,12,0.5,1
33,41,81,34,27,1.0,1
32,67,91,13,26,1.0,1
21,80,91,14,19,1.0,1
23,60,92,19,15,1.0,1
32,60,91,8,14,1.0,1
28,65,93,10,22,1.0,1
43,82,84,38,32,2.0,1
33,71,87,22,20,2.0,1
24,44,86,18,15,2.0,1
28,66,86,21,24,2.0,1
31,58,88,17,17,2.0,1
28,61,90,31,29,2.0,1
70,69,88,64,24,2.0,1
18,87,93,26,17,2.0,1
33,58,98,28,21,2.0,1
38,65,94,17,27,3.0,1
12,71,91,11,22,3.0,1
20,55,90,16,20,3.0,1
25,54,91,35,22,4.0,1
41,54,87,23,29,6.0,1
15,67,92,14,14,6.0,1
31,101,98,32,26,6.0,1
51,53,92,92,33,6.0,1
43,94,97,82,43,6.0,1
11,43,93,54,16,6.0,1
24,68,93,19,18,6.0,1
38,36,95,15,19,6.0,1
58,86,99,203,42,6.0,1
103,66,98,114,57,6.0,1
10,80,92,20,26,6.0,1
33,57,91,12,23,8.0,1
76,52,91,24,32,8.0,1
46,70,93,33,30,8.0,1
36,55,87,25,19,8.0,1
28,123,98,31,24,8.0,1
45,138,91,48,21,10.0,1
37,41,92,37,22,10.0,1
26,75,99,41,24,12.0,1
55,77,98,89,35,15.0,1
27,68,91,14,26,16.0,1
57,99,98,65,45,20.0,1
59,64,85,23,32,0.0,2
33,54,86,54,16,0.0,2
34,78,91,36,24,0.0,2
12,70,87,10,28,0.0,2
13,55,98,17,17,0.0,2
155,72,91,82,68,0.5,2
47,54,85,22,33,0.5,2
14,39,79,9,19,0.5,2
25,85,85,30,26,0.5,2
24,63,89,38,20,0.5,2
68,92,84,44,37,0.5,2
26,68,89,42,39,0.5,2
18,101,89,13,25,0.5,2
18,84,86,16,14,0.5,2
25,65,85,18,14,0.5,2
19,61,88,13,21,0.5,2
14,56,92,10,16,0.5,2
29,50,95,50,25,0.5,2
24,75,91,11,22,0.5,2
29,40,83,38,25,0.5,2
19,74,89,16,23,0.5,2
24,64,85,11,22,0.5,2
64,57,92,90,36,0.5,2
11,48,94,43,23,0.5,2
21,52,87,30,19,0.5,2
23,65,85,15,29,0.5,2
21,82,84,19,21,0.5,2
20,49,88,19,22,0.5,2
26,67,96,36,26,0.5,2
24,63,90,24,24,0.5,2
33,45,90,27,34,0.5,2
14,72,90,18,15,0.5,2
4,55,91,13,8,0.5,2
15,52,91,11,22,0.5,2
5,67,89,14,17,1.0,2
26,51,85,23,24,1.0,2
19,75,103,13,30,1.0,2
16,63,90,14,21,1.0,2
43,90,87,156,28,2.0,2
28,72,96,30,19,2.0,2
9,55,91,16,25,2.0,2
27,78,95,30,25,2.0,2
34,101,92,64,30,2.0,2
41,51,89,48,22,2.0,2
42,99,91,16,33,2.0,2
21,58,94,26,18,2.0,2
30,60,92,297,27,2.0,2
21,58,94,26,18,2.0,2
33,47,88,29,26,2.0,2
17,65,92,9,25,2.0,2
32,61,81,53,37,3.0,2
